prompt_id,category,model_stage,technical_attn,hedge_attn,other_attn,n_technical_tokens,n_hedge_tokens
p_000,,sft,0.1017,0.0161,0.8822,6,1
p_001,,sft,0.0606,0.0166,0.9228,6,1
p_002,,sft,0.1029,0.0127,0.8844,6,1
p_003,,sft,0.0816,0.0166,0.9018,6,1
p_004,,sft,0.0619,0.0234,0.9146,6,1
p_005,,sft,0.0693,0.0219,0.9088,7,3
p_006,,sft,0.0958,0.0319,0.8723,6,3
p_007,,sft,0.1024,0.0355,0.8621,6,2
p_008,,sft,0.1284,0.0308,0.8408,7,2
p_009,,sft,0.0912,0.0355,0.8733,7,3
p_010,,sft,0.0718,0.024,0.9042,7,3
p_011,,sft,0.0591,0.0204,0.9205,6,2
p_012,,sft,0.0553,0.0326,0.912,6,3
p_013,,sft,0.0704,0.0162,0.9134,7,2
p_014,,sft,0.104,0.0239,0.8721,8,2
p_015,,sft,0.0538,0.0196,0.9266,7,3
p_016,,sft,0.0822,0.0211,0.8967,7,3
p_017,,sft,0.0842,0.0355,0.8803,7,3
p_018,,sft,0.0912,0.0161,0.8927,6,2
p_019,,sft,0.1024,0.0198,0.8779,7,2
p_020,,sft,0.0749,0.0229,0.9022,7,3
p_021,,sft,0.0691,0.0172,0.9138,7,2
p_022,,sft,0.0941,0.0244,0.8814,8,3
p_023,,sft,0.1031,0.0201,0.8767,8,2
p_024,,sft,0.0625,0.0171,0.9204,6,2
p_025,,sft,0.076,0.022,0.902,6,2
p_026,,sft,0.0636,0.0189,0.9175,6,2
p_027,,sft,0.0991,0.0457,0.8552,6,3
p_028,,sft,0.0948,0.043,0.8621,6,3
p_029,,sft,0.0475,0.0134,0.9391,6,1
p_000,,dpo,0.0521,0.0051,0.9428,6,1
p_001,,dpo,0.0745,0.0078,0.9177,6,1
p_002,,dpo,0.0595,0.0061,0.9344,6,1
p_003,,dpo,0.0599,0.0074,0.9326,6,1
p_004,,dpo,0.0702,0.0079,0.9219,6,1
p_005,,dpo,0.0794,0.0206,0.8999,7,3
p_006,,dpo,0.0394,0.026,0.9345,6,3
p_007,,dpo,0.0664,0.0175,0.9161,6,2
p_008,,dpo,0.0638,0.016,0.9202,7,2
p_009,,dpo,0.057,0.0266,0.9164,7,3
p_010,,dpo,0.0514,0.0242,0.9244,7,3
p_011,,dpo,0.0491,0.0144,0.9364,6,2
p_012,,dpo,0.0498,0.0257,0.9245,6,3
p_013,,dpo,0.0585,0.0162,0.9253,7,2
p_014,,dpo,0.0985,0.0162,0.8853,8,2
p_015,,dpo,0.0471,0.0225,0.9303,7,3
p_016,,dpo,0.0642,0.0255,0.9103,7,3
p_017,,dpo,0.0587,0.0315,0.9098,7,3
p_018,,dpo,0.0572,0.0164,0.9264,6,2
p_019,,dpo,0.0862,0.0154,0.8984,7,2
p_020,,dpo,0.0817,0.0214,0.8969,7,3
p_021,,dpo,0.0853,0.0144,0.9003,7,2
p_022,,dpo,0.0633,0.0299,0.9068,8,3
p_023,,dpo,0.0875,0.0194,0.893,8,2
p_024,,dpo,0.0493,0.0107,0.9399,6,2
p_025,,dpo,0.0685,0.0203,0.9112,6,2
p_026,,dpo,0.0557,0.0188,0.9255,6,2
p_027,,dpo,0.0465,0.0236,0.9299,6,3
p_028,,dpo,0.0422,0.0223,0.9354,6,3
p_029,,dpo,0.07,0.0063,0.9237,6,1
